Epoch	Training_Time	Train_Loss	Train_Score	Valid_Score
0	126.10788154602051	2.9335918864761124	0	0.09626410486953066
1	112.94559383392334	2.5746281679481307	0	0.116400685016191
2	108.4815861384074	2.3689271082617855	0	0.12533794673865672
3	106.0180007815361	2.2054185095141494	0	0.1311309047120065
4	104.94476919174194	2.0674289337813927	0	0.13522386001020353
5	104.08209069569905	1.9495405036876612	0	0.1310159016014299
6	103.60125241960797	1.8523268636825543	0	0.13540340829642664
7	103.10844111442566	1.7705057044250603	0	0.1363675099595685
8	102.83504263559978	1.702172990313438	0	0.14072689592915738
9	102.49062712192536	1.6441834645633266	0	0.13555831102616395
10	102.29870332371105	1.5923394437790515	0	0.1396363411220754
11	102.0723253885905	1.5349989530058996	0	0.13698612797311135
12	101.94293269744286	1.4818479545517278	0	0.13620848382648795
13	101.78224194049835	1.43516161028235	0	0.1366785359970266
14	101.68099489212037	1.3908298718959204	0	0.1327188766685633
15	101.54568129777908	1.351975227912965	0	0.13753442045724115
16	101.43336528890273	1.3160203256114962	0	0.1310434341726799
17	101.3750372727712	1.2827231181759757	0	0.1331421484487181
18	101.27602602306165	1.2515363772510735	0	0.13374205085210036
19	101.22946873903274	1.2235001723283208	0	0.12863815658223338
20	101.1564637819926	1.1965410590283994	0	0.1314030534677421
21	101.1172199791128	1.1718669840353195	0	0.1324515353068625
22	101.04566894406858	1.1477066973408911	0	0.13127651397362577
23	101.01695292194684	1.1261459077840468	0	0.1311352947063163
-1	-1	-1	-1	-1
0	107.26482033729553	2.8096018907715714	0	0.11048424629088169
1	102.40655326843262	2.4269383460320673	0	0.12407599875058348
2	101.03398950894673	2.2309417079204	0	0.1336566442036048
3	100.09242004156113	2.0734415191554065	0	0.14009374797822008
4	99.73643007278443	1.9403524283632878	0	0.1414003324399082
5	99.36707882086436	1.829458776426734	0	0.14595968766105066
6	99.22019192150661	1.73734164129536	0	0.14065878704525328
7	98.99948185682297	1.660879101664987	0	0.14315688645355118
8	98.98292387856378	1.5960979548421976	0	0.14104776880558095
9	98.82103893756866	1.5416994306493732	0	0.14372274134731952
10	98.76604147390886	1.4929135697175149	0	0.14262265907530405
11	98.6600530743599	1.436603656639269	0	0.1443815961105701
12	98.62307680570163	1.3846889564129459	0	0.14176378203419443
13	98.51490478856223	1.3385046318154712	0	0.1412483262112924
14	98.50335445404053	1.2955578333760145	0	0.14199841759775142
15	98.43957261741161	1.2564475917943299	0	0.1393684916321547
16	98.42867748877582	1.220651616135535	0	0.13776459110858896
17	98.37309767140283	1.1876241979440452	0	0.13835247964844316
18	98.33512038933604	1.1573758686576014	0	0.13960759745919932
19	98.33752127885819	1.1281887676328457	0	0.13782490853096102
20	98.29337655930291	1.1018426914885173	0	0.13739704535383193
-1	-1	-1	-1	-1
0	107.48987174034119	2.761581036871021	0	0.115058362284115
1	102.597296833992	2.3659448802396374	0	0.13059759434830653
2	101.11474633216858	2.168970786904451	0	0.13573711937651106
3	100.17217582464218	2.014884381140191	0	0.1379116296480542
4	99.79006934165955	1.8861461418261343	0	0.14119726747372802
5	99.41369390487671	1.7797967130072891	0	0.1419753321821955
6	99.23045298031398	1.6910213958588867	0	0.14722862393239744
7	99.03371992707253	1.6172026697934196	0	0.14064180330341525
8	98.95740368631151	1.5541009013745537	0	0.14279576612486286
9	98.81260335445404	1.5012451605111772	0	0.1429462513741779
10	98.7611690868031	1.4543424663385154	0	0.14342597646713
11	98.68961938222249	1.3998318158996899	0	0.13755678612583552
12	98.65847903031569	1.3488085154009284	0	0.14182796162022177
13	98.59420163290841	1.302986761370447	0	0.14025033611745275
14	98.5831804116567	1.2614091649520651	0	0.13981436526687874
15	98.53843708336353	1.2222633543920935	0	0.13528146433436347
16	98.53294630611644	1.18685777118918	0	0.13711210777214194
17	98.4855660200119	1.1542174307585062	0	0.13361895806783392
18	98.47378711951406	1.1240859596313466	0	0.13283583372552124
19	98.42836301326751	1.0961329088531144	0	0.13306646191118296
20	98.4216433593205	1.0697008716117782	0	0.13476343211409172
21	98.38419908827001	1.0447495655814558	0	0.1295777644706075
-1	-1	-1	-1	-1
0	108.27855682373047	2.7454046629453392	0	0.11458735831571873
1	102.92993378639221	2.341335160669449	0	0.12605304733104178
2	101.55858159065247	2.1482389519549674	0	0.1389966602330191
3	100.62279057502747	1.99422212717225	0	0.15024346736228228
4	100.17600836753846	1.8670989271987188	0	0.1434282468686641
5	99.75558749834697	1.7610870014170332	0	0.14557120867766438
6	99.56087027277265	1.6731228558451798	0	0.14208125684875478
7	99.28595730662346	1.600340398297256	0	0.14312106913018513
8	99.16039270824857	1.5383616142545171	0	0.14637020345264198
9	98.99259603023529	1.485359150949057	0	0.14418450560362292
10	98.91773637858304	1.4378817806130222	0	0.1442241089565453
11	98.78698575496674	1.3831078085950208	0	0.1458138981586411
12	98.66818936054523	1.3322732732765648	0	0.14199457367709112
13	98.6338688986642	1.286659859821967	0	0.1415387731774636
14	98.5327578385671	1.2443926363921674	0	0.13994031563387746
15	98.5072195827961	1.2067831546591696	0	0.1372843600765764
16	98.44638224209056	1.1705176836461615	0	0.13698869877596265
17	98.4353905916214	1.13848235477767	0	0.13687247192528343
18	98.37476102929367	1.1081435955041923	0	0.1361724704517359
19	98.37268544435501	1.0798342932609273	0	0.13222541216799882
-1	-1	-1	-1	-1
0	108.44589018821716	2.727237194215638	0	0.12580664552220847
1	103.3452205657959	2.3200676240391536	0	0.1293332210148619
2	101.42862542470296	2.1279957964922884	0	0.14247499127413227
3	100.69770395755768	1.9784678272351417	0	0.1396408787630245
4	100.02957930564881	1.853601395597721	0	0.14154436380408245
5	99.73823722203572	1.7500678636647826	0	0.14832171475902026
6	99.41322261946542	1.6635377976571302	0	0.1475184732580534
7	99.25161927938461	1.592130666544925	0	0.1425300194441624
8	99.01862096786499	1.5298383320065934	0	0.1432183485630477
9	98.93099296092987	1.476538293708672	0	0.1438628516837747
10	98.79955018650402	1.4302204619611671	0	0.14387459895633625
11	98.76625937223434	1.3754753963636186	0	0.1427058870237202
12	98.67014475969168	1.3249619565763917	0	0.14562142629154068
13	98.6319990668978	1.2798095945656822	0	0.13877140667691573
14	98.53904625574748	1.2372988413089192	0	0.14087121918125117
15	98.52324217557907	1.1994854911993558	0	0.1376557478060743
16	98.44206038643333	1.1638015475558816	0	0.13822886608748028
17	98.41693162918091	1.1314696367816015	0	0.13526679939880626
18	98.36229173760665	1.100891316138965	0	0.1361769116480516
19	98.30656379461288	1.0727906070247648	0	0.13392923249389918
20	98.29512471244449	1.0473739549498935	0	0.13455537951308646
-1	-1	-1	-1	-1
0	108.06867718696594	2.711656683810532	0	0.11889690928784585
1	102.90005505084991	2.3075651839057656	0	0.13562660331297752
2	101.37421782811482	2.1146836992040035	0	0.13232723556604875
3	100.34458112716675	1.9638264291409118	0	0.13547157726059422
4	99.85414414405822	1.8386592173591312	0	0.13458202888013993
5	99.44195862611134	1.7339959929847957	0	0.14413965410590732
6	99.10346286637443	1.648731901811686	0	0.14520330341428644
7	98.87563335895538	1.5769253205998779	0	0.1472943454163597
8	98.78742191526625	1.516030050056941	0	0.14282311845532247
9	98.64133503437043	1.462629885939762	0	0.14239336749307385
