Epoch	Training_Time	Train_Loss	Train_Score	Valid_Score
0	0.6845402717590332	306.0911731330716	0.6880000458075743	0.73532269652405
1	0.481439471244812	324.32281463000237	0.5924160240927697	0.706821948768649
2	0.4125373363494873	271.65475339305647	0.7443460389537077	0.7307137817860675
3	0.3791038990020752	259.1882311762596	0.7798703044107053	0.7722878073393353
4	0.3592559337615967	247.2099737050582	0.8102251188234734	0.7824862915338061
5	0.34667718410491943	239.951761362504	0.8265984671224782	0.7895679006775116
6	0.33757989747183664	233.66459032954003	0.841359076101448	0.7812752181098973
7	0.33033549785614014	224.96947681660555	0.8535628914916633	0.7733311129099446
8	0.32473617129855686	221.79869951520647	0.8605107819831858	0.792466997709374
9	0.3202507734298706	213.201314809371	0.8696955556681542	0.7961142435803938
10	0.3164046894420277	209.07272214305644	0.8765856790806162	0.7836734766578335
11	0.31339116891225177	202.9219970703125	0.8865425319593719	0.7858196929596041
12	0.31075596809387207	195.39286368233817	0.8941927434520954	0.7760000784838298
13	0.31432718890053885	189.81989272759884	0.9018376491065642	0.7978380981076082
14	0.31237457593282064	186.5049173783283	0.9087743917525706	0.7865721758184864
15	0.31033186614513397	180.07599406339685	0.9143067590510507	0.7738095032935419
16	0.3087201819700353	171.47838109853316	0.9231111569595098	0.7786493878042572
17	0.3074287838406033	167.67471438038106	0.9266608307488208	0.7996610747419659
18	0.30609384335969625	159.39975504972497	0.9353931684562715	0.782464613964725
19	0.30617499351501465	149.24774512466118	0.9440904298486905	0.7714294704012709
20	0.31423184985206243	145.92408207484655	0.9474497543229009	0.7809727597123981
21	0.33012558113444934	138.04963061274316	0.9538374341558001	0.7690871012547835
22	0.3280341728873875	130.15408231774154	0.95909353767138	0.7606295552279349
23	0.32613112529118854	122.99436950683594	0.9643571451802591	0.7686527279678935
24	0.3242508125305176	115.49845341273716	0.9682887456937076	0.7655238142356152
25	0.3223916475589459	107.95187813895089	0.9725451968188296	0.7627450898222553
26	0.32086259347421153	102.32032744738521	0.9759902619997393	0.7658887135471782
27	0.3192241447312491	93.7246876930704	0.9801252228074143	0.7512594527351294
28	0.3177811112897149	87.92031136337592	0.9820214524718797	0.7667596849997679
29	0.3162865400314331	79.24332194425622	0.9857812483927854	0.7572222767308793
30	0.3149975192162298	75.8258336125588	0.9876147573542994	0.7583693441869602
31	0.31375907361507416	66.88478337501994	0.9899574358083809	0.7513807921282368
32	0.3129935914819891	62.230823205441844	0.991401099148621	0.7533907600359799
-1	-1	-1	-1	-1
0	0.3468053340911865	302.91760876713965	0.6897483444938036	0.7406762700837607
1	0.31259334087371826	309.5493410071548	0.6397263870720811	0.7042104305946556
2	0.30222121874491376	270.51221045669246	0.7495974482215907	0.7539419262692206
3	0.29609400033950806	252.82018233318718	0.7980082871105468	0.7786111416475642
4	0.30836925506591795	246.55922403140943	0.8150725263909969	0.7783393920233586
5	0.3060465256373088	240.2117365623007	0.8244312021201147	0.7977614301661081
6	0.3026683671133859	231.31361420300541	0.8419836492754923	0.7941456306457072
7	0.299325168132782	225.7589702995456	0.8529981142324266	0.780308389061248
8	0.296828826268514	222.81637137276786	0.8561883649126784	0.7976726983328959
9	0.2949348449707031	214.18052517637915	0.8693663924051207	0.7952190051684473
10	0.2953008088198575	213.47337995256697	0.8713760441588888	0.7978808075763335
11	0.294474979241689	205.43685103435905	0.8809024792548851	0.8099050717396595
12	0.2937198602236234	196.89966847945232	0.8921984633480714	0.8014689608316816
13	0.29272944586617605	193.85985020228796	0.8960970574035664	0.8124417181482531
14	0.29180116653442384	186.47386076012435	0.9045523596128596	0.8203434476755636
15	0.29100704193115234	179.4465166987205	0.9131194115863955	0.806376851846421
16	0.2904188352472642	173.91023238824337	0.9186426947754268	0.8049581439812123
17	0.29011335637834335	168.83092405358138	0.9248851667822845	0.7978320275430177
18	0.2897517681121826	164.31616070805762	0.9301970859238379	0.7956919867509815
19	0.2893925666809082	159.27245377521126	0.934193479505701	0.7913183561673813
20	0.28913763591221403	150.21204469641862	0.9418094117769669	0.7813191187940133
21	0.28889734094793146	143.701697524713	0.948674755682137	0.7747866824516824
22	0.28860835407091223	136.43513769033004	0.9540681165578063	0.7911232929352511
23	0.2882253626982371	125.68965911865234	0.9611421146190078	0.7743291564528924
24	0.2879973030090332	122.79168903584383	0.9631302378105095	0.7739406986466806
25	0.28781701968266415	113.83744734160754	0.9697646021944454	0.7757147410918553
26	0.2879394601892542	103.91020607461735	0.9743319183507936	0.7711596436446516
27	0.2877434321812221	98.41928816814811	0.9784700437432198	0.7637560731407448
28	0.2876214487799283	101.68334781880282	0.9770274537992237	0.7681212697297427
29	0.2878788232803345	84.99211245167012	0.9835369828765684	0.771299146666792
-1	-1	-1	-1	-1
0	0.42527031898498535	411.320420245735	0.5550660922936327	0.5960017707265635
1	0.35425233840942383	393.03515189034596	0.5362317988315294	0.6187717498718385
2	0.32936493555704754	319.5069243761958	0.6307250240720124	0.6550720377119293
3	0.31762194633483887	298.4984227394571	0.6788181701833723	0.6567839298472713
4	0.310319709777832	281.13145322215803	0.7220824424552096	0.7070920268829456
5	0.30572489897410077	265.5865584392937	0.7652572376563355	0.719994591338364
6	0.3026643139975412	261.0738045828683	0.7821148460828159	0.705592121454696
7	0.29948052763938904	256.31619760941487	0.7925660757433693	0.7454096124522342
8	0.2969051202138265	238.42524407834424	0.8293205626629422	0.7524883256141442
9	0.2949242353439331	230.14555140904017	0.8436095956207909	0.7509249391178754
10	0.2933129614049738	226.9261938601124	0.8506879960995177	0.7624366546527453
11	0.2922396659851074	216.35658170738998	0.8678188311882181	0.7501698349824405
12	0.29133092440091646	212.5704239825813	0.870771335305707	0.7545200670934825
13	0.2906641108649118	206.04346575055803	0.8820553461805855	0.7591245370812167
14	0.29091763496398926	198.17536085479114	0.8939950402177416	0.7629726561141054
15	0.2904716432094574	195.06115068708147	0.8988237734115435	0.7752737787219993
16	0.2899024626787971	188.6834268375319	0.9049330616063648	0.7723444202846812
17	0.28951218393113876	182.87488571478397	0.9128557940878269	0.7854240144698862
18	0.2889357366059956	176.19556660554846	0.9201218503866299	0.779007697023575
19	0.28843051195144653	169.94059348592953	0.9266926285877649	0.7848893600605787
20	0.2877426488058908	170.05359758649553	0.9247337515250239	0.7812959817125414
21	0.2875283523039384	161.71881679612764	0.93584584030751	0.7851564979746694
22	0.2873377281686534	156.44412402717435	0.939931231031346	0.7701894066322144
23	0.2871657907962799	151.7878635951451	0.9447559748128552	0.772843318076967
24	0.2868278121948242	149.16916454081633	0.9476030955453226	0.7819405821319042
25	0.28672597958491397	140.6306642804827	0.9539663223055898	0.7778598053741613
26	0.28952567665665235	137.381140884088	0.9563713973751581	0.7808254959917232
27	0.28934335708618164	132.88477901536592	0.9597357474674643	0.776642092387632
28	0.289175008905345	127.47879791259766	0.9635948998433738	0.780438652961099
29	0.28931987285614014	122.60001513422752	0.9666514246879508	0.782215908416325
30	0.28909367899740895	120.31574560671436	0.9685168030439198	0.7720762035438131
31	0.2889154702425003	112.63889873271086	0.9724076241667224	0.7726158833875472
32	0.28874394387909863	108.7845144466478	0.9745247830212133	0.7771024173367973
-1	-1	-1	-1	-1
0	0.3420867919921875	400.09079384317204	0.5610825243776644	0.5992766752495137
1	0.31288862228393555	398.6211373465402	0.5284424124016057	0.5988880166929498
2	0.30161039034525555	320.1499017209423	0.6242402199578733	0.6467578671185131
3	0.2959313988685608	301.34203416474014	0.6743912710407063	0.6760103887002161
4	0.29238476753234866	284.52582939303653	0.7234753279086165	0.6724019792151776
5	0.2902450958887736	274.48554432148836	0.7432550182879663	0.7048505956199281
6	0.28808150972638813	257.7341411357023	0.7832843756685067	0.7199965701236554
7	0.2873876690864563	246.10949925013952	0.812052002037914	0.7455582460552449
8	0.28687360551622176	235.208566471022	0.8342867577688776	0.7364697559725416
9	0.28648977279663085	226.66094316755022	0.8485439658389842	0.7451818200144597
10	0.2860149470242587	222.1813949273557	0.8576786848784647	0.7566061062017725
11	0.285865585009257	215.9545284971899	0.8673788291512353	0.7596243705221428
12	0.2855975261101356	207.75893978196748	0.8768544506891968	0.7686714132798601
13	0.2854434422084263	204.67889030612244	0.8830029995954135	0.7673710753996179
14	0.2849770387013753	196.76759961186622	0.8953003136153792	0.771665584046743
15	0.2847217321395874	190.26752612055566	0.9033735406766567	0.7747706246863185
16	0.2845033196841969	185.2806748370735	0.9086544081722511	0.7808365111828589
17	0.28892579343583846	182.4617807816486	0.9129735327681266	0.7739628501203297
18	0.2885077376114695	176.91405487060547	0.9195409622036245	0.777450289325067
19	0.2880838632583618	170.87382009078044	0.9243822491399656	0.7783722455966221
20	0.2877245971134731	165.6776026511679	0.9294781594769614	0.7767201704135013
21	0.28738943013277923	161.07593006990393	0.9357674251759261	0.781891118334055
22	0.2869607572970183	155.76329180659081	0.9401260859358502	0.7785279480447788
23	0.28682669003804523	151.92331384152783	0.9435252832853144	0.7699243720057608
24	0.2865219306945801	150.56611181765186	0.9455837247590407	0.7717398029211845
25	0.28621575465569127	145.9823620854592	0.9492992947453255	0.7746243327039751
26	0.2859011579442907	135.31007836789502	0.9569881023068808	0.770529534013082
27	0.2856404781341553	133.9060821533203	0.9583794119108081	0.7709939544722123
28	0.28534991165687296	129.37652229776188	0.9617515958266146	0.776750537335554
29	0.2854473988215129	122.5114117057956	0.9663078389461396	0.7737414539780222
30	0.28524184996081936	119.72346091757015	0.9671339054600424	0.776469602531852
31	0.2849573791027069	113.265328076421	0.9714934767237553	0.7739970340125749
32	0.28480977723092743	110.33296748570034	0.9735620648762615	0.769140271354734
33	0.28518949536716237	106.2791081642618	0.9751121734082414	0.7661648397256645
34	0.2852081094469343	100.88296789052535	0.9783539807815771	0.7737213860956569
35	0.2850699226061503	98.10846998253648	0.9797199430738385	0.7698522135817053
36	0.2849186626640526	93.56264744972697	0.9821483821371522	0.7641071601929293
-1	-1	-1	-1	-1
