Epoch	Training_Time	Train_Loss	Train_Score	Valid_Score
0	0.8925156593322754	6076.339662905092	0.5692431036008755	0.6083678385890432
1	0.6046479940414429	5199.832980685764	0.5932323177261053	0.6231013768658396
2	0.5441064834594727	4910.202654803241	0.6545185220351392	0.6445951010672194
3	0.4869503974914551	4741.942626953125	0.6854103614623592	0.6643052107182639
4	0.4529582500457764	4612.746523256655	0.7107932237545326	0.6665045954233706
5	0.42954270044962567	4491.404382776331	0.7335327702656779	0.6679159222098162
6	0.41311444555010113	4473.369524920428	0.7369805768951759	0.6619664090161845
7	0.4010303318500519	4392.80150462963	0.7550584884549197	0.6743343203729585
8	0.39198795954386395	4359.664261429398	0.7592605116970494	0.6718751169021893
9	0.3848299503326416	4286.254896375868	0.770651060888874	0.6953971060106194
10	0.38552008975635876	4183.079951533565	0.7853980597375504	0.689018275969686
11	0.37995843092600506	4126.725929542824	0.7954822427252866	0.6978797773297675
12	0.3747694125542274	4067.3757414641204	0.805638535013227	0.680752436299699
13	0.37067268575940815	4002.9512216073495	0.8132354920279015	0.6778819869129309
14	0.3669293244679769	3924.6718297887733	0.8217887650988088	0.6933914807255934
15	0.36399661004543304	3841.200349030671	0.8348050557258565	0.6910274515684783
16	0.36174408127279845	3747.988566080729	0.8432234624571178	0.6910629008490186
17	0.3598047759797838	3671.595341435185	0.8537085619688799	0.6786585569576669
18	0.35796131585773666	3645.320925112124	0.8595623421381526	0.6834803867713025
19	0.35644041299819945	3542.789532696759	0.8689928184063795	0.6808628436933692
20	0.35571684156145367	3476.627007378472	0.8757931174984597	0.6783746954844208
21	0.3543755791404031	3416.119199399595	0.8824912099221641	0.6858171573118691
22	0.35304303791212	3321.229885525174	0.8909347739383511	0.6800811226126127
23	0.35188955068588257	3268.6503951461227	0.8963816725316566	0.6818465483287253
24	0.350615873336792	3191.758287217882	0.9025479559982139	0.6865729138909776
25	0.3494860025552603	3121.2909930193864	0.9092623704394248	0.678311747893435
26	0.348267811316031	3066.6755348488136	0.913947620972958	0.6687998882201752
-1	-1	-1	-1	-1
0	0.38465213775634766	5995.230107060185	0.5731231294246818	0.610506591785539
1	0.35152482986450195	5225.389675564236	0.5843492615465242	0.6053030831801687
2	0.34215807914733887	5011.813585069444	0.635909822445561	0.6485697042066582
3	0.33570241928100586	4796.979365596065	0.6808862684902902	0.633137858236135
4	0.3317375659942627	4722.657371238426	0.6892074688639721	0.6533062232336169
5	0.3417343695958455	4613.369502314815	0.7095604129897277	0.6672135962489892
6	0.33862457956586567	4545.437915943287	0.7240181136392984	0.6753394754475619
7	0.33626803755760193	4435.714432327835	0.7401600217248591	0.6780110719196144
8	0.33607180913289386	4405.666883680556	0.7500580281838088	0.6916057155779138
9	0.3347186088562012	4302.973782009549	0.7689171420687243	0.6892067340720004
10	0.33441591262817383	4246.506205240886	0.7775849061743004	0.6943419393760163
11	0.3365201950073242	4134.492015697338	0.7917262094064811	0.7036180426181177
12	0.33527376101567197	4070.1255922670716	0.8026663133853662	0.6940447682241917
13	0.3343220608575003	4031.05829083478	0.809745591781817	0.6909850454153783
14	0.33303879102071127	3936.7124701605903	0.8220264789083368	0.7027844426379364
15	0.332102432847023	3889.516375506366	0.8273631688813825	0.6873554577354567
16	0.33136843232547536	3805.151272243924	0.8395887979620592	0.6982584594841091
17	0.3306928343243069	3771.1157723885995	0.8442346482660678	0.7032933680952498
18	0.3306519734232049	3722.118724681713	0.8506323279193894	0.6895024798084368
19	0.330296790599823	3633.6322744864005	0.8606832621091679	0.6969287163791226
20	0.3302474816640218	3560.0800148292824	0.8679815541970711	0.6991556431649604
21	0.32976432280106976	3495.1075575086807	0.8745171890564002	0.7007139717262609
22	0.32927546293839166	3442.854749891493	0.8800715933110852	0.6977815320647235
23	0.32864407698313397	3362.510656286169	0.8876195027584821	0.6944126273104789
24	0.3285187244415283	3309.256691261574	0.8928919659252255	0.6922308648704582
25	0.32822030324202317	3231.347258391204	0.8993176368971375	0.6943275826111602
26	0.32799929159658925	3175.345538104022	0.9049647210487093	0.692861665733161
-1	-1	-1	-1	-1
0	0.3795130252838135	11281.885805483218	0.48931510713545284	0.508375073143761
1	0.35085415840148926	6974.919745551215	0.4648776920781955	0.4854503857862524
2	0.3393603165944417	5724.514634874132	0.5140118373080803	0.4978044513018234
3	0.35561424493789673	5476.502495659723	0.5514257973758365	0.5369621501771912
4	0.3495203971862793	5360.352701822917	0.5831821312904724	0.5423113262175374
5	0.34478962421417236	5024.93933557581	0.6357068267423216	0.5568893847803964
6	0.34182889120919363	4967.175256799768	0.6497815761215294	0.5820870630056421
7	0.33907413482666016	4703.042579933449	0.6943937692329556	0.6080962667244331
8	0.33717327647738987	4600.556568287037	0.7105605294880696	0.6237361527525386
9	0.3360335350036621	4644.326841001158	0.7086084058471802	0.6188564989799454
10	0.3346401778134433	4447.379878291377	0.7347081814480916	0.632757377885635
11	0.3331173857053121	4394.1259765625	0.744720448663466	0.62048327148718
12	0.3322728413801927	4321.199074074074	0.754567408565788	0.6449523771706164
13	0.3312540735517229	4284.086900499132	0.7595425546880903	0.6466594681714742
14	0.33008238474527996	4195.176197193287	0.7713482563575659	0.6360795931072586
15	0.3292664736509323	4132.86156322338	0.7795254903997597	0.6417889173968733
16	0.3283701503978056	4068.791517469618	0.7874954175719139	0.6414062617259986
17	0.3277727895312839	3985.3013373480903	0.7980070810823955	0.6479512624682539
18	0.3273676445609645	4032.384539568866	0.7957826665183202	0.6453459828549953
19	0.3271119832992554	3887.45886682581	0.8108172484652727	0.6562585115171113
20	0.32686934016999747	3903.248159903067	0.8107130463615374	0.6538191412043148
